method,algorithm,k,seed,silhouette
PCA,KMeans,4,3016,0.4863809316534468
PCA,GMM,4,3016,0.41986029057574326
PCA,Agglomerative,4,3016,0.48765134424796924
PCA,Spectral,4,3016,0.35808749973959464
PCA,KMeans,5,3016,0.5269802136219324
PCA,GMM,5,3016,0.2807689809786663
PCA,Agglomerative,5,3016,0.5521963523374787
PCA,Spectral,5,3016,0.3193613881228527
PCA,KMeans,6,3016,0.5680426055994776
PCA,GMM,6,3016,0.3450114327451788
PCA,Agglomerative,6,3016,0.5639881437960454
PCA,Spectral,6,3016,0.2875621523225612
UMAP,KMeans,4,3016,0.4551493227481842
UMAP,GMM,4,3016,0.4535031318664551
UMAP,Agglomerative,4,3016,0.4245246946811676
UMAP,Spectral,4,3016,0.4551493227481842
UMAP,KMeans,5,3016,0.47926974296569824
UMAP,GMM,5,3016,0.3640153110027313
UMAP,Agglomerative,5,3016,0.4432539641857147
UMAP,Spectral,5,3016,0.48088106513023376
UMAP,KMeans,6,3016,0.4394615590572357
UMAP,GMM,6,3016,0.4122033715248108
UMAP,Agglomerative,6,3016,0.4079935848712921
UMAP,Spectral,6,3016,0.4187825918197632
MDS,KMeans,4,3016,0.38606820377863044
MDS,GMM,4,3016,0.5705831538723106
MDS,Agglomerative,4,3016,0.38269483403205595
MDS,Spectral,4,3016,0.2613176688001908
MDS,KMeans,5,3016,0.4156821469739646
MDS,GMM,5,3016,0.4139759981784068
MDS,Agglomerative,5,3016,0.3799105183115377
MDS,Spectral,5,3016,0.25747330307318894
MDS,KMeans,6,3016,0.4086151457424554
MDS,GMM,6,3016,0.407786147266848
MDS,Agglomerative,6,3016,0.38446740685330394
MDS,Spectral,6,3016,0.23690671674248912
PCA,KMeans,4,5123,0.4863809316534468
PCA,GMM,4,5123,0.41986029057574326
PCA,Agglomerative,4,5123,0.48765134424796924
PCA,Spectral,4,5123,0.35808749973959464
PCA,KMeans,5,5123,0.5265791069468279
PCA,GMM,5,5123,0.2807689809786663
PCA,Agglomerative,5,5123,0.5521963523374787
PCA,Spectral,5,5123,0.3193613881228527
PCA,KMeans,6,5123,0.5680426055994776
PCA,GMM,6,5123,0.3450114327451788
PCA,Agglomerative,6,5123,0.5639881437960454
PCA,Spectral,6,5123,0.2875621523225612
UMAP,KMeans,4,5123,0.471296489238739
UMAP,GMM,4,5123,0.44779959321022034
UMAP,Agglomerative,4,5123,0.4312414526939392
UMAP,Spectral,4,5123,0.4629022479057312
UMAP,KMeans,5,5123,0.47115764021873474
UMAP,GMM,5,5123,0.40078142285346985
UMAP,Agglomerative,5,5123,0.4426862895488739
UMAP,Spectral,5,5123,0.47105544805526733
UMAP,KMeans,6,5123,0.43606963753700256
UMAP,GMM,6,5123,0.400375097990036
UMAP,Agglomerative,6,5123,0.4103909730911255
UMAP,Spectral,6,5123,0.4286353886127472
MDS,KMeans,4,5123,0.3868488745122111
MDS,GMM,4,5123,0.3147566644215858
MDS,Agglomerative,4,5123,0.3759295587296035
MDS,Spectral,4,5123,0.23597474643899374
MDS,KMeans,5,5123,0.40914144989025647
MDS,GMM,5,5123,0.3900260350334205
MDS,Agglomerative,5,5123,0.4163362267921562
MDS,Spectral,5,5123,0.2564325807162729
MDS,KMeans,6,5123,0.41383590466635517
MDS,GMM,6,5123,0.4159679451752094
MDS,Agglomerative,6,5123,0.42385020554481917
MDS,Spectral,6,5123,0.2290038399285382
PCA,KMeans,4,4881,0.4863809316534468
PCA,GMM,4,4881,0.10630886691310956
PCA,Agglomerative,4,4881,0.48765134424796924
PCA,Spectral,4,4881,0.35808749973959464
PCA,KMeans,5,4881,0.5265791069468279
PCA,GMM,5,4881,0.28144686719768014
PCA,Agglomerative,5,4881,0.5521963523374787
PCA,Spectral,5,4881,0.3193613881228527
PCA,KMeans,6,4881,0.5680426055994776
PCA,GMM,6,4881,0.3450114327451788
PCA,Agglomerative,6,4881,0.5639881437960454
PCA,Spectral,6,4881,0.2875621523225612
UMAP,KMeans,4,4881,0.45202627778053284
UMAP,GMM,4,4881,0.4169214069843292
UMAP,Agglomerative,4,4881,0.42076340317726135
