method,algorithm,k,seed_1,seed_2,ARI,NMI
PCA,KMeans,4,9855,5791,1.0,1.0
PCA,KMeans,4,9855,2407,1.0,1.0
PCA,KMeans,4,9855,3735,1.0,1.0
PCA,KMeans,4,9855,9513,1.0,1.0
PCA,KMeans,4,9855,9149,1.0,1.0
PCA,KMeans,4,9855,5361,1.0,1.0
PCA,KMeans,4,9855,4881,1.0,1.0
PCA,KMeans,4,9855,3050,1.0,1.0
PCA,KMeans,4,9855,8244,1.0,1.0
PCA,KMeans,4,5791,2407,1.0,1.0
PCA,KMeans,4,5791,3735,1.0,1.0
PCA,KMeans,4,5791,9513,1.0,1.0
PCA,KMeans,4,5791,9149,1.0,1.0
PCA,KMeans,4,5791,5361,1.0,1.0
PCA,KMeans,4,5791,4881,1.0,1.0
PCA,KMeans,4,5791,3050,1.0,1.0
PCA,KMeans,4,5791,8244,1.0,1.0
PCA,KMeans,4,2407,3735,1.0,1.0
PCA,KMeans,4,2407,9513,1.0,1.0
PCA,KMeans,4,2407,9149,1.0,1.0
PCA,KMeans,4,2407,5361,1.0,1.0
PCA,KMeans,4,2407,4881,1.0,1.0
PCA,KMeans,4,2407,3050,1.0,1.0
PCA,KMeans,4,2407,8244,1.0,1.0
PCA,KMeans,4,3735,9513,1.0,1.0
PCA,KMeans,4,3735,9149,1.0,1.0
PCA,KMeans,4,3735,5361,1.0,1.0
PCA,KMeans,4,3735,4881,1.0,1.0
PCA,KMeans,4,3735,3050,1.0,1.0
PCA,KMeans,4,3735,8244,1.0,1.0
PCA,KMeans,4,9513,9149,1.0,0.9999999999999999
PCA,KMeans,4,9513,5361,1.0,0.9999999999999999
PCA,KMeans,4,9513,4881,1.0,1.0
PCA,KMeans,4,9513,3050,1.0,0.9999999999999999
PCA,KMeans,4,9513,8244,1.0,0.9999999999999999
PCA,KMeans,4,9149,5361,1.0,1.0
PCA,KMeans,4,9149,4881,1.0,1.0
PCA,KMeans,4,9149,3050,1.0,1.0
