n_components,k,Silhouette,Strategy,Model
2,4,0.6844990849494934,Early Integration,Masked Autoencoder
2,5,0.6144890189170837,Early Integration,Masked Autoencoder
2,6,0.6085532903671265,Early Integration,Masked Autoencoder
2,7,0.6211638450622559,Early Integration,Masked Autoencoder
2,8,0.6130214333534241,Early Integration,Masked Autoencoder
2,9,0.527735710144043,Early Integration,Masked Autoencoder
2,10,0.5366100668907166,Early Integration,Masked Autoencoder
2,11,0.5460370779037476,Early Integration,Masked Autoencoder
2,12,0.5508102774620056,Early Integration,Masked Autoencoder
2,13,0.537678062915802,Early Integration,Masked Autoencoder
2,14,0.5505953431129456,Early Integration,Masked Autoencoder
2,15,0.5549988150596619,Early Integration,Masked Autoencoder
3,4,0.6350550651550293,Early Integration,Masked Autoencoder
3,5,0.578436553478241,Early Integration,Masked Autoencoder
3,6,0.6302887201309204,Early Integration,Masked Autoencoder
3,7,0.6304068565368652,Early Integration,Masked Autoencoder
3,8,0.5692664980888367,Early Integration,Masked Autoencoder
3,9,0.544812023639679,Early Integration,Masked Autoencoder
3,10,0.5423556566238403,Early Integration,Masked Autoencoder
3,11,0.5426596403121948,Early Integration,Masked Autoencoder
3,12,0.5413311719894409,Early Integration,Masked Autoencoder
3,13,0.5347984433174133,Early Integration,Masked Autoencoder
3,14,0.5232208967208862,Early Integration,Masked Autoencoder
3,15,0.5298988223075867,Early Integration,Masked Autoencoder
4,4,0.6750103235244751,Early Integration,Masked Autoencoder
4,5,0.5820541381835938,Early Integration,Masked Autoencoder
4,6,0.6218301057815552,Early Integration,Masked Autoencoder
4,7,0.6378039717674255,Early Integration,Masked Autoencoder
4,8,0.6346371173858643,Early Integration,Masked Autoencoder
4,9,0.5546847581863403,Early Integration,Masked Autoencoder
4,10,0.5339493155479431,Early Integration,Masked Autoencoder
4,11,0.5345240235328674,Early Integration,Masked Autoencoder
4,12,0.518794596195221,Early Integration,Masked Autoencoder
4,13,0.5221835374832153,Early Integration,Masked Autoencoder
4,14,0.5258393883705139,Early Integration,Masked Autoencoder
4,15,0.523662269115448,Early Integration,Masked Autoencoder
5,4,0.6367357969284058,Early Integration,Masked Autoencoder
5,5,0.5912311673164368,Early Integration,Masked Autoencoder
5,6,0.6097649931907654,Early Integration,Masked Autoencoder
5,7,0.6231590509414673,Early Integration,Masked Autoencoder
5,8,0.6190503835678101,Early Integration,Masked Autoencoder
5,9,0.5442562103271484,Early Integration,Masked Autoencoder
5,10,0.5376574397087097,Early Integration,Masked Autoencoder
5,11,0.5401192307472229,Early Integration,Masked Autoencoder
5,12,0.5299205780029297,Early Integration,Masked Autoencoder
5,13,0.5338379144668579,Early Integration,Masked Autoencoder
5,14,0.5372461676597595,Early Integration,Masked Autoencoder
5,15,0.5387492775917053,Early Integration,Masked Autoencoder
2,4,0.6082904873176713,Early Integration,Masked Cosine Distance w/ Concat
